,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981122i03.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981121i01.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981121i02.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981122i01.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981122i02.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981128i02.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981125i01.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981125i02.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981125i03.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981128i01.std
18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
58.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
83.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
93.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
112.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
117.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
140.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
167.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
175.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
176.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
192.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
197.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
214.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
244.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
277.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
282.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
283.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
286.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
317.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
335.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
339.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
392.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
403.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
459.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
486.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
503.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
507.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
535.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
542.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
547.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
594.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
605.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
637.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
679.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
710.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
739.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
782.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
823.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
837.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
847.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
848.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
875.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
888.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
889.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
940.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
972.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
982.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1014.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1040.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1081.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1085.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1101.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1105.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1107.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1108.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1113.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1164.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1198.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1288.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1309.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1316.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1343.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1390.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1551.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1612.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1708.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1711.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1725.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1772.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1773.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1787.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1809.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1823.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1876.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1897.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1901.0,-1.0,1330.0,870.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1945.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1950.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2006.0,-1.0,1138.0,736.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2014.0,-1.0,2915.0,1942.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2030.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2064.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2080.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2087.0,-1.0,1441.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2334.0,-1.0,3466.0,2350.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2375.0,-1.0,1502.0,984.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2380.0,-1.0,942.0,598.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2391.0,-1.0,3518.0,2384.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2395.0,-1.0,1450.0,953.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2456.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2457.0,-1.0,782.0,493.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2479.0,-1.0,3514.0,2377.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2544.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2552.0,-1.0,737.0,457.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2583.0,-1.0,3559.0,2408.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2624.0,-1.0,2687.0,1805.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2655.0,-1.0,897.0,568.0,1675.0,2035.0,-1.0,-1.0,-1.0,-1.0,-1.0
2670.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2677.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2692.0,-1.0,2665.0,1790.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2710.0,-1.0,2086.0,1392.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2714.0,2109.0,967.0,622.0,1782.0,2172.0,-1.0,-1.0,-1.0,-1.0,-1.0
2736.0,-1.0,1463.0,960.0,2513.0,3066.0,-1.0,-1.0,-1.0,-1.0,-1.0
2756.0,-1.0,3272.0,2196.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2763.0,-1.0,2410.0,1605.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2788.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2794.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2834.0,1759.0,774.0,487.0,1501.0,1827.0,874.0,-1.0,-1.0,-1.0,937.0
2839.0,818.0,282.0,183.0,759.0,910.0,450.0,-1.0,-1.0,-1.0,460.0
2843.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2868.0,5809.0,2914.0,1941.0,4633.0,5654.0,-1.0,-1.0,-1.0,-1.0,-1.0
2883.0,104.0,-1.0,-1.0,251.0,252.0,95.0,-1.0,-1.0,-1.0,119.0
2916.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2931.0,2647.0,1246.0,809.0,2200.0,2686.0,1321.0,-1.0,-1.0,-1.0,1331.0
2969.0,2092.0,960.0,613.0,1764.0,2148.0,1044.0,-1.0,-1.0,-1.0,1087.0
3040.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3049.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3095.0,3211.0,1542.0,1014.0,2618.0,3202.0,1587.0,-1.0,-1.0,-1.0,1609.0
3122.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3173.0,2763.0,1317.0,-1.0,2283.0,2792.0,-1.0,-1.0,-1.0,-1.0,1386.0
3209.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3211.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3220.0,5014.0,2494.0,1666.0,4034.0,4911.0,2408.0,-1.0,-1.0,-1.0,2390.0
3240.0,1249.0,501.0,309.0,1084.0,1328.0,636.0,734.0,725.0,736.0,680.0
3247.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3279.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3318.0,5328.0,2657.0,1787.0,4280.0,5221.0,2557.0,-1.0,-1.0,-1.0,2543.0
3325.0,270.0,-1.0,-1.0,372.0,402.0,187.0,177.0,174.0,188.0,202.0
3367.0,3733.0,1806.0,1190.0,3022.0,3714.0,1828.0,2113.0,2046.0,2121.0,1845.0
3377.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3381.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3398.0,4279.0,2092.0,1395.0,3441.0,4238.0,2077.0,2404.0,2323.0,2415.0,2075.0
3413.0,2117.0,969.0,623.0,1786.0,2180.0,1053.0,1195.0,1194.0,1236.0,1097.0
3427.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3434.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3441.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3442.0,3839.0,1853.0,1226.0,3104.0,3814.0,1880.0,2172.0,2100.0,2166.0,1891.0
3457.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3466.0,1511.0,646.0,396.0,1296.0,1594.0,766.0,869.0,858.0,877.0,817.0
3470.0,6050.0,3049.0,2036.0,4809.0,5873.0,2871.0,3413.0,3266.0,3393.0,2869.0
3479.0,6616.0,3350.0,2262.0,5250.0,6387.0,3141.0,3721.0,3588.0,3692.0,3151.0
3503.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3504.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3520.0,2696.0,1279.0,833.0,2234.0,2740.0,1344.0,1527.0,1511.0,1556.0,1355.0
3547.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3550.0,1347.0,546.0,335.0,1159.0,1428.0,676.0,778.0,770.0,781.0,733.0
3560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3570.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3578.0,4676.0,2313.0,1538.0,3768.0,4599.0,2267.0,2628.0,2515.0,2627.0,-1.0
3581.0,3315.0,1594.0,1055.0,2697.0,3311.0,1628.0,1868.0,1822.0,1884.0,1657.0
3585.0,2280.0,1054.0,678.0,1916.0,2326.0,1138.0,1299.0,1284.0,1326.0,1163.0
3599.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3611.0,3001.0,1433.0,942.0,2464.0,3020.0,1486.0,1699.0,1669.0,1725.0,1512.0
3614.0,1767.0,781.0,492.0,1505.0,1833.0,882.0,1012.0,1009.0,1041.0,942.0
3619.0,391.0,64.0,43.0,460.0,517.0,260.0,251.0,240.0,249.0,255.0
3669.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3677.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3697.0,6355.0,3226.0,2159.0,5062.0,6139.0,3024.0,3578.0,3451.0,3561.0,3022.0
3715.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3720.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3726.0,4657.0,2303.0,1531.0,3757.0,4582.0,2254.0,2616.0,2504.0,2613.0,2243.0
3804.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3876.0,4383.0,2160.0,1439.0,3532.0,4335.0,2123.0,2467.0,2376.0,2466.0,2118.0
3894.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3902.0,-1.0,3564.0,2410.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3917.0,5993.0,3015.0,2019.0,4773.0,5823.0,2837.0,3375.0,3236.0,3361.0,2841.0
3922.0,6624.0,3361.0,2265.0,5266.0,6394.0,3145.0,3732.0,3603.0,3696.0,3154.0
3947.0,2302.0,1072.0,685.0,1932.0,2347.0,1151.0,1313.0,1297.0,1339.0,1176.0
3961.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3977.0,4626.0,2291.0,1523.0,3732.0,4552.0,2235.0,2602.0,2492.0,2594.0,2226.0
3981.0,3637.0,1750.0,1160.0,2949.0,3623.0,1787.0,2057.0,2000.0,2073.0,1806.0
3989.0,2248.0,1036.0,667.0,1886.0,2298.0,1117.0,1282.0,1265.0,1308.0,1148.0
3992.0,3243.0,1558.0,1025.0,2642.0,3231.0,1598.0,1830.0,1787.0,1849.0,1625.0
3995.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3998.0,5847.0,2930.0,1955.0,4661.0,5692.0,2780.0,3304.0,3166.0,3293.0,2769.0
4003.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4004.0,5480.0,2739.0,1829.0,4390.0,5343.0,2627.0,3109.0,2961.0,3084.0,-1.0
4007.0,4339.0,2132.0,1419.0,3491.0,4289.0,2097.0,2440.0,2353.0,2442.0,2098.0
4021.0,5977.0,3006.0,2015.0,4762.0,5802.0,2834.0,3369.0,3226.0,3355.0,2837.0
4045.0,4553.0,2249.0,-1.0,3676.0,4493.0,2199.0,2563.0,2457.0,2557.0,-1.0
4058.0,627.0,189.0,119.0,624.0,737.0,372.0,387.0,372.0,387.0,373.0
4088.0,6553.0,3330.0,2245.0,5211.0,6331.0,3122.0,3699.0,3567.0,3663.0,3128.0
4105.0,4535.0,2244.0,1497.0,3662.0,4476.0,2191.0,2554.0,2450.0,-1.0,2192.0
